Full Export Completed,Partial Result Timestamp,Filters,Media Type,Users,Remote,Date,End Date,Duration,Direction,ANI,DNIS,Queue,Wrap-up,Flow,Conversation ID
YES,,Queue: C_FAKE_EMAIL,message,João Miguel Azevedo,Nascimento Cardoso S/A,03/29/25 05:14 AM,08/08/25 01:55 PM,1763229,Inbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,a15cf032-930e-4347-bf70-abaa80e51b3d
YES,,Queue: C_FAKE_EMAIL,call,Sabrina Peixoto,Sabrina Costa,07/24/25 11:02 PM,01/20/25 11:22 PM,352515,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,86423a80-a8c1-4f22-b8ea-904d9b6b0992
YES,,Queue: C_FAKE_CHAT,message,Laura Lopes,Diogo Gonçalves,04/05/25 06:30 PM,05/08/25 03:33 PM,1382443,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,fa3bc921-c484-4743-8c8b-a7603e3a0dfc
YES,,Queue: C_FAKE_EMAIL,call,Sr. Lorenzo Lopes; Srta. Olivia Duarte,Sabrina Oliveira,05/21/25 12:58 PM,01/31/25 10:45 PM,668482,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,1391d18a-8171-4955-8f7a-1e435a1ba9db
YES,,Queue: C_FAKE_EMAIL,message,Dr. Otávio Dias; Valentina Peixoto,Miguel Costela,07/28/25 06:56 PM,04/06/25 03:02 AM,1070584,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,ac92275a-6859-4dc4-a8c5-a3b0c6c55054
YES,,Queue: C_FAKE_CHAT,call,Natália Cunha; Emanuella Gomes,Dr. Cauã Cardoso,06/08/25 03:31 PM,06/13/25 12:12 PM,1551508,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,93758195-25fd-42f4-bbb6-1ff781496136
YES,,Queue: C_FAKE_WHATSAPP,call,Marina da Paz,Ramos Alves S.A.,02/16/25 09:50 PM,06/12/25 01:52 PM,1909845,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,b61d1f43-8df8-4ff9-83f8-6f2d436c9e18
YES,,Queue: C_FAKE_EMAIL,email,Sofia Castro,Azevedo Pinto S/A,03/06/25 07:57 PM,01/29/25 08:32 AM,377834,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,8780d6ca-ddeb-48d4-83d0-4bac21e38238
YES,,Queue: C_FAKE_CHAT,call,Lara Moraes; João Duarte,Costa,05/11/25 07:16 PM,05/11/25 05:43 PM,1247846,Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,1b96ee81-9ddb-4fea-9bd7-871c976b1a33
YES,,Queue: C_FAKE_CHAT,call,Srta. Ana Julia Moraes; Júlia Porto,Sra. Evelyn Rocha,02/22/25 06:36 AM,03/13/25 05:53 AM,935544,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v2,ea956113-96ed-4815-8415-ac73b944e469
YES,,Queue: C_FAKE_EMAIL,message,Ana Júlia da Costa; Nicolas Moura,Nascimento,05/05/25 10:41 AM,06/20/25 07:55 AM,1734461,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,968c77f1-b8f7-4f48-8238-03582d3dab8a
YES,,Queue: C_FAKE_EMAIL,message,Vitor Castro; Heitor Sales,Sr. Miguel Silveira,07/23/25 11:09 PM,08/14/25 04:23 AM,816605,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,6d3b867c-ed94-4378-9814-abe0821b390c
YES,,Queue: C_FAKE_EMAIL,email,Igor Nogueira; Sr. Danilo Barbosa,Pinto Silveira Ltda.,08/12/25 08:40 AM,08/28/25 12:39 AM,907400,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,48e80f79-58eb-4462-9976-a39a507a61a9
YES,,Queue: C_FAKE_WHATSAPP,call,Cauã Gomes; Luigi Pires,Davi Luiz Gomes,04/11/25 06:03 PM,08/24/25 09:54 AM,994738,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,3b4f068e-ecad-422d-9b2a-a4e4c0e354e7
YES,,Queue: C_FAKE_CHAT,email,Emilly da Conceição; Emanuel Vieira,Sophia da Cunha,01/11/25 02:55 PM,08/21/25 09:24 AM,1983375,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,e401461a-f5b9-4b3c-8a2c-bb1be70cf274
YES,,Queue: C_FAKE_WHATSAPP,message,Maria Alice da Mota; Luigi Araújo,Sr. Gustavo Henrique Pereira,06/22/25 06:03 PM,07/22/25 07:04 AM,1898982,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,4b814a84-742f-490e-94be-e4e4204d3f55
YES,,Queue: C_FAKE_WHATSAPP,message,Theo Costa; Larissa Sales,Bryan Cunha,04/19/25 03:22 AM,02/15/25 05:30 AM,982566,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,143dbd6c-cdbb-4c1f-9a8d-785ef7eba7e9
YES,,Queue: C_FAKE_EMAIL,email,Srta. Sabrina Cardoso,da Cruz,07/16/25 10:08 PM,05/11/25 05:34 AM,1332663,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,bc4b2732-a170-420c-b416-386b46af040d
YES,,Queue: C_FAKE_WHATSAPP,message,Nicole Cardoso,Dra. Gabrielly Azevedo,06/18/25 07:22 AM,02/09/25 12:09 AM,1462148,Inbound/Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,8573b517-cb50-4544-b481-acdeeeafab56
YES,,Queue: C_FAKE_CHAT,email,Sr. Matheus Azevedo,Farias S.A.,08/16/25 05:06 PM,05/27/25 02:31 AM,894301,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,ac6082a4-385f-473d-b173-16d5df42eabd
YES,,Queue: C_FAKE_CHAT,message,Francisco Ribeiro,Rodrigues da Mata e Filhos,07/12/25 09:49 PM,04/20/25 06:01 PM,1650531,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,e0389eb7-a280-4710-b2d5-ad8721bd1db7
YES,,Queue: C_FAKE_CHAT,message,Luiz Henrique da Rosa,Pinto S/A,07/10/25 01:34 PM,08/05/25 02:29 PM,1831499,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,2d98f251-b5c1-4027-b563-559e9c78bade
YES,,Queue: C_FAKE_WHATSAPP,call,Kaique Ferreira,Duarte,09/05/25 03:55 PM,05/16/25 10:09 AM,1868407,Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,f44f5031-a82d-4879-87cc-4d1c7bf6b2ad
YES,,Queue: C_FAKE_WHATSAPP,email,Heitor Dias,Rodrigues,07/10/25 09:11 AM,09/02/25 04:16 PM,480572,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,8b1d2284-5b6c-4b7a-990c-2e2a6467e0c0
YES,,Queue: C_FAKE_EMAIL,call,Evelyn Castro,Correia Gomes - ME,06/23/25 03:57 PM,05/07/25 08:55 AM,290043,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,1da6536d-6cc3-48aa-a994-3d143f555c7d
YES,,Queue: C_FAKE_WHATSAPP,email,Lucas Gabriel Lopes,Monteiro e Filhos,06/04/25 02:27 PM,02/19/25 05:35 PM,1790129,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,d712288a-7bd6-4d37-a1d5-fceac610024b
YES,,Queue: C_FAKE_WHATSAPP,message,Maria Vitória Oliveira,Araújo Gonçalves Ltda.,07/17/25 02:07 AM,03/25/25 12:56 PM,936659,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,68b49b00-c867-48b2-99da-5f47e3caa0c4
YES,,Queue: C_FAKE_CHAT,email,Matheus Martins,Renan Lopes,06/09/25 04:55 PM,06/01/25 11:54 PM,313596,Inbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,660fdc40-6cd9-4c3f-b123-bc96cf1ca021
YES,,Queue: C_FAKE_EMAIL,message,Benjamin Fogaça,Sabrina das Neves,05/12/25 11:33 PM,09/05/25 02:25 AM,970229,Inbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,72984bb6-4efa-4dc3-8bae-4fc1d18ad3ca
YES,,Queue: C_FAKE_WHATSAPP,call,Clarice da Cunha,Cecília Correia,08/27/25 04:24 AM,08/26/25 04:36 AM,525910,Inbound/Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,8a2e30d6-9ade-4cc2-a114-419854662ea9
YES,,Queue: C_FAKE_WHATSAPP,message,Thiago Aragão; Ana Laura Melo,Vieira,01/25/25 03:32 PM,01/20/25 02:43 AM,599471,Inbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,8914bc96-5cb2-4033-b5e0-edd684c62e4b
YES,,Queue: C_FAKE_CHAT,message,Davi Lucca Teixeira; Raquel Dias,da Cruz,05/26/25 04:48 AM,05/09/25 05:49 PM,933147,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,bbbbcccc-8d8e-452b-b732-8d1569d445f3
YES,,Queue: C_FAKE_WHATSAPP,email,André Azevedo,Vitor Gabriel Souza,02/09/25 07:33 PM,07/14/25 06:18 PM,719225,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,0ad33361-7c22-4735-8a95-7c2e65df39cb
YES,,Queue: C_FAKE_CHAT,email,Gustavo Henrique Jesus,Dias e Filhos,04/07/25 01:05 AM,01/14/25 02:50 AM,912002,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,d0207ede-1fa7-4e6b-bffa-749e45bfd2c3
YES,,Queue: C_FAKE_WHATSAPP,message,Milena Nunes,Fogaça Cardoso S/A,01/29/25 04:42 PM,07/15/25 10:22 PM,1412595,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,bb8e37e2-c32b-4a73-b417-dee1b8dc6390
YES,,Queue: C_FAKE_EMAIL,call,Alexia Alves,Castro Novaes S.A.,08/24/25 05:27 AM,05/02/25 05:49 AM,901123,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,8329bd1a-6cd6-4edf-92df-c152c8e6cd4b
YES,,Queue: C_FAKE_EMAIL,message,Srta. Fernanda Freitas,Catarina Castro,04/13/25 03:10 PM,08/12/25 06:35 PM,1323045,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,6df5fa4a-4a8e-4dd2-a067-982478adb182
YES,,Queue: C_FAKE_WHATSAPP,email,Enzo Gabriel Oliveira; Emilly Rocha,Samuel Teixeira,07/16/25 05:47 PM,04/05/25 11:58 PM,263543,Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,7f3dadbd-fe3f-4662-8468-0a4a61e5835e
YES,,Queue: C_FAKE_CHAT,call,Sra. Isadora Viana,Porto S.A.,08/13/25 10:13 AM,01/10/25 04:00 PM,1351875,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,72742e76-3b6b-4cb7-856d-be2965b8a38c
YES,,Queue: C_FAKE_EMAIL,call,Dr. Miguel Cavalcanti,Gabriela Melo,02/25/25 08:02 PM,09/02/25 03:13 PM,1842115,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,8f962ff2-186b-4a71-9569-12ddf9cf2bd2
YES,,Queue: C_FAKE_WHATSAPP,call,Emanuel Rodrigues; Elisa Cardoso,João Ribeiro,07/23/25 06:29 AM,08/09/25 01:27 AM,651039,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,c474e1c0-0f16-4af8-bb80-8449c2b579c2
YES,,Queue: C_FAKE_EMAIL,call,Eloah Oliveira; Vicente Mendes,Arthur Martins,08/08/25 01:05 PM,08/21/25 12:34 PM,1898954,Inbound/Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,44a524d9-016d-46d9-9f15-e6676812a17c
YES,,Queue: C_FAKE_CHAT,email,Srta. Sophia Rodrigues,Lopes,04/02/25 01:14 PM,05/05/25 11:44 PM,1219369,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,83b1c1ec-7ba5-45df-b578-6277761c7a2b
YES,,Queue: C_FAKE_EMAIL,email,Sarah Cardoso,Pereira e Filhos,01/31/25 02:23 AM,05/26/25 09:38 PM,1420307,Inbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,297eef2f-037c-4599-81c3-53c4209595a4
YES,,Queue: C_FAKE_CHAT,call,Sofia Costa,Eduardo Pires,02/14/25 03:25 AM,01/16/25 04:05 AM,1014217,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,2bb47157-7ec4-49d8-ac97-34c0e2b05055
YES,,Queue: C_FAKE_WHATSAPP,email,Yasmin Souza; Beatriz Vieira,Juliana Alves,04/26/25 05:55 AM,02/15/25 03:57 PM,386268,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v2,b84e2f11-4b52-4dc2-bee9-19726f7b93e7
YES,,Queue: C_FAKE_EMAIL,message,Emanuelly Silveira; Dr. Miguel da Cunha,Gustavo Silveira,03/21/25 09:43 AM,08/27/25 10:53 AM,1684919,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,84f612df-5f0a-44fb-b6e7-d214f3b5f7d7
YES,,Queue: C_FAKE_CHAT,email,Eloah Ribeiro,da Rocha,05/09/25 05:28 AM,02/22/25 01:27 PM,996716,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,d4541573-b70f-4392-863d-aa902a0b83f4
YES,,Queue: C_FAKE_EMAIL,message,Alana Lopes,da Luz,02/28/25 09:21 AM,07/02/25 05:19 PM,387906,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,016f2931-fa1b-4bac-be49-95a4112a0ef5
YES,,Queue: C_FAKE_EMAIL,call,Samuel da Mota,Ryan Castro,07/28/25 08:01 PM,06/28/25 02:24 AM,461756,Inbound/Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,9ffe3709-0fa4-4293-983f-36db54beb7e0
YES,,Queue: C_FAKE_EMAIL,call,Maria Vitória da Cruz; João Felipe das Neves,Alves,03/16/25 07:32 PM,04/17/25 03:16 PM,902207,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,de3b5a64-e958-4430-921c-f64348c08457
YES,,Queue: C_FAKE_WHATSAPP,message,Maria Luiza Lima; Dr. Fernando Viana,Mirella da Paz,01/31/25 02:07 AM,08/19/25 03:47 AM,1491440,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,3768b54a-bb0c-486a-9a5c-a75227051d96
YES,,Queue: C_FAKE_CHAT,message,Davi Ferreira; Ana Lívia Costela,Maria Sophia Nogueira,05/09/25 05:18 AM,08/12/25 01:30 PM,496848,Inbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,9ad28c4a-9798-439e-9a78-6fcac5a06501
YES,,Queue: C_FAKE_WHATSAPP,message,Vicente Ribeiro,Davi Luiz Almeida,04/01/25 12:49 AM,03/26/25 01:23 AM,149297,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v1,9d6ba3b5-cda8-48b5-adf6-cca41761f1ce
YES,,Queue: C_FAKE_EMAIL,email,Danilo da Cunha; Agatha Martins,Benjamin Cunha,07/18/25 05:26 PM,06/20/25 06:11 PM,1241766,Inbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,53bc20e0-78c0-4d8b-aa33-19bc6ce763e1
YES,,Queue: C_FAKE_WHATSAPP,email,Luiz Fernando Costa,Novaes Nascimento - ME,07/04/25 06:27 AM,05/18/25 08:45 PM,103196,Inbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,51251262-85a0-4af6-96b1-ba8c4fcf9f89
YES,,Queue: C_FAKE_EMAIL,message,Ana Júlia da Rosa,Freitas da Conceição - ME,08/06/25 04:06 PM,06/21/25 12:26 PM,670141,Inbound/Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,4023539b-c9f9-4d37-b1f2-0ebf7d76c495
YES,,Queue: C_FAKE_WHATSAPP,call,Ana Vitória Pinto; Isabel da Luz,João Guilherme Rezende,05/15/25 08:52 AM,06/14/25 04:41 PM,1767108,Inbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,e054dba1-8f4e-4920-9df2-055436ba4892
YES,,Queue: C_FAKE_WHATSAPP,email,João Miguel Moura; Vinicius Alves,Pires Moreira - EI,03/17/25 04:29 PM,01/03/25 04:19 AM,905408,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v3,18177e4a-5415-468e-8f75-c3d196107189
YES,,Queue: C_FAKE_WHATSAPP,email,Dr. Luiz Fernando Alves,Azevedo,09/09/25 08:30 AM,04/17/25 06:43 PM,1688265,Inbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,0b3e2b6e-65f6-4897-ba8e-5e5ca444c040
YES,,Queue: C_FAKE_CHAT,message,Dra. Eloah Freitas,Ana Carolina Araújo,07/02/25 08:15 PM,08/24/25 10:44 PM,1225269,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,2c7c4106-7d84-4537-b458-d92ca1da7c7a
YES,,Queue: C_FAKE_WHATSAPP,email,Sofia Viana,Arthur Moura,01/12/25 04:46 AM,08/27/25 12:49 AM,650049,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,b4a4cb80-2737-4316-b69b-8391e4ee8f51
YES,,Queue: C_FAKE_WHATSAPP,email,Srta. Ana Cardoso; Ana Vitória Caldeira,Maysa Caldeira,05/03/25 12:53 AM,02/07/25 08:32 PM,230334,Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v1,fbc053a8-4708-4f0f-8b49-0e26db9eb2e6
YES,,Queue: C_FAKE_EMAIL,call,Pietro Aragão; Dr. Thales da Cunha,Rebeca Moreira,07/20/25 12:38 PM,01/06/25 12:05 PM,1981934,Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,6a97cbce-6736-49ef-aa1c-5dcaf0c7915e
YES,,Queue: C_FAKE_EMAIL,email,Natália Caldeira; Diogo Santos,Thomas Fogaça,02/02/25 02:38 PM,03/09/25 12:36 AM,1706756,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,9bc88efe-4688-4612-8b64-e782718296af
YES,,Queue: C_FAKE_EMAIL,email,Ryan Santos; Camila Almeida,Guilherme Monteiro,02/15/25 05:10 PM,05/13/25 02:34 PM,423860,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,b2403468-d60b-44a9-9173-cd93775c4f30
YES,,Queue: C_FAKE_CHAT,message,Miguel Rezende; Carlos Eduardo Carvalho,Carvalho da Mata Ltda.,08/18/25 01:54 PM,09/01/25 08:34 AM,1468608,Outbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,2b5997f2-c447-4e3f-8525-c1b4f73c6a1f
YES,,Queue: C_FAKE_EMAIL,message,Enrico Moura,Ana Júlia Farias,04/30/25 12:44 PM,09/07/25 10:49 AM,538863,Inbound/Outbound,,,C_FAKE_WHATSAPP,FAKE-WRAP-UP-DELETED,[LT] Fluxo_FAKE_v3,30eb0400-dd55-4095-a6c7-5732f151ff15
YES,,Queue: C_FAKE_WHATSAPP,email,Dra. Ana Lima,Nascimento e Filhos,04/22/25 11:44 AM,03/11/25 03:07 AM,1025581,Inbound/Outbound,,,C_FAKE_SUPPORT,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v3,50c74b31-90a6-4567-a3f2-f68f476a2533
YES,,Queue: C_FAKE_WHATSAPP,email,Clarice da Mota; Eduardo da Luz,Ferreira,06/20/25 05:21 PM,04/13/25 05:44 PM,1031310,Inbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v1,94256e90-5aeb-4055-bd69-258017a85108
YES,,Queue: C_FAKE_CHAT,call,Dr. Vitor Silveira,Marina da Cunha,01/15/25 06:21 AM,08/16/25 06:40 AM,1442942,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,9197107c-89b7-42ed-a7dc-3b6562bbf84c
YES,,Queue: C_FAKE_WHATSAPP,message,Samuel Pinto; Dr. Emanuel Mendes,Carvalho,07/19/25 08:02 AM,03/23/25 08:04 PM,969241,Inbound,,,C_FAKE_CHAT,FAKE-WRAP-UP-TIMEOUT,[LT] Fluxo_FAKE_v2,42c6cc42-77ba-49f1-b7df-8dfb421a4d96
YES,,Queue: C_FAKE_CHAT,call,Carlos Eduardo Silveira; Marina da Mata,Cunha,07/01/25 11:03 AM,08/16/25 09:33 PM,1982973,Outbound,,,C_FAKE_EMAIL,FAKE-WRAP-UP-COMPLETED,[LT] Fluxo_FAKE_v2,60beb85d-9053-417b-9f4d-ec1d52af891a
